Number;Name;Spawn_Type;Average_Rarity_Score;Recommendation;Data_Sources;Structured_Spawn_Data_Score;Enhanced_Curated_Data_Score;PokemonDB_Catch_Rate_Score;Inferred_Score
1;Bulbasaur;wild;2,70;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,34;6,00;1,76;
2;Ivysaur;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,02;;1,76;
3;Venusaur;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,76;
4;Charmander;wild;2,63;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,13;6,00;1,76;
5;Charmeleon;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,76;
6;Charizard;evolution-only;0,88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,76;
7;Squirtle;wild;2,68;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,29;6,00;1,76;
8;Wartortle;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,02;;1,76;
9;Blastoise;evolution-only;0,88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,76;
10;Caterpie;wild;6,51;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1,52;8,00;10,00;
11;Metapod;evolution-only;2,40;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,09;;4,71;
12;Butterfree;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,76;
13;Weedle;wild;7,19;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;3,56;8,00;10,00;
14;Kakuna;evolution-only;2,46;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,22;;4,71;
15;Beedrill;evolution-only;0,90;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,03;;1,76;
16;Pidgey;wild;9,33;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;7,99;10,00;10,00;
17;Pidgeotto;evolution-only;2,61;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,51;;4,71;
18;Pidgeot;evolution-only;0,91;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,07;;1,76;
19;Rattata;wild;8,51;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;6,53;9,00;10,00;
19;Alolan Rattata;wild;8,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;10,00;
20;Raticate;evolution-only;2,59;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,20;;4,98;
20;Alolan Raticate;wild;4,98;Depends on Circumstances;PokemonDB Catch Rate;;;4,98;
21;Spearow;wild;6,46;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;2,37;7,00;10,00;
22;Fearow;evolution-only;1,80;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,07;;3,53;
23;Ekans;wild;5,57;Depends on Circumstances;Structured Spawn Data, PokemonDB Catch Rate;1,14;;10,00;
24;Arbok;evolution-only;1,78;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,04;;3,53;
25;Pikachu;wild;4,52;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,10;6,00;7,45;
26;Raichu;evolution-only;1,47;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;2,94;
26;Alolan Raichu;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
27;Sandshrew;wild;5,52;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,56;6,00;10,00;
27;Alolan Sandshrew;wild;7,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;10,00;
28;Sandslash;evolution-only;1,77;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,02;;3,53;
28;Alolan Sandslash;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
29;Nidoran♀;wild;7,61;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;9,22;
30;Nidorina;evolution-only;2,37;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,04;;4,71;
31;Nidoqueen;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,76;
32;Nidoran♂;wild;7,61;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;9,22;
33;Nidorino;evolution-only;2,37;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,04;;4,71;
34;Nidoking;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,76;
35;Clefairy;wild;3,45;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,46;4,00;5,88;
36;Clefable;evolution-only;0,49;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;0,98;
37;Vulpix;wild;4,19;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,11;5,00;7,45;
37;Alolan Vulpix;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
38;Ninetales;evolution-only;1,47;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;2,94;
38;Alolan Ninetales;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
39;Jigglypuff;wild;3,62;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,20;4,00;6,67;
40;Wigglytuff;evolution-only;0,98;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,96;
41;Zubat;wild;7,09;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;3,26;8,00;10,00;
42;Golbat;evolution-only;1,87;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,21;;3,53;
43;Oddish;wild;5,84;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,51;7,00;10,00;
44;Gloom;evolution-only;2,37;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,03;;4,71;
45;Vileplume;evolution-only;0,88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,76;
46;Paras;wild;5,21;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1,18;7,00;7,45;
47;Parasect;evolution-only;1,49;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,04;;2,94;
48;Venonat;wild;5,20;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1,14;7,00;7,45;
49;Venomoth;evolution-only;1,49;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,04;;2,94;
50;Diglett;wild;5,10;Depends on Circumstances;Structured Spawn Data, PokemonDB Catch Rate;0,20;;10,00;
50;Alolan Diglett;wild;7,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;10,00;
51;Dugtrio;evolution-only;0,98;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,96;
51;Alolan Dugtrio;wild;1,96;Should Always Trade;PokemonDB Catch Rate;;;1,96;
52;Meowth;wild;5,21;Depends on Circumstances;Structured Spawn Data, PokemonDB Catch Rate;0,43;;10,00;
52;Alolan Meowth;wild;7,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;10,00;
52;Galarian Meowth;wild;7,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;10,00;
53;Persian;evolution-only;1,77;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;3,53;
53;Alolan Persian;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
54;Psyduck;wild;5,24;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1,27;7,00;7,45;
55;Golduck;evolution-only;1,49;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,04;;2,94;
56;Mankey;wild;3,96;Depends on Circumstances;Structured Spawn Data, PokemonDB Catch Rate;0,46;;7,45;
57;Primeape;evolution-only;1,48;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,02;;2,94;
58;Growlithe;wild;3,96;Depends on Circumstances;Structured Spawn Data, PokemonDB Catch Rate;0,46;;7,45;
59;Arcanine;evolution-only;1,47;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;2,94;
60;Poliwag;wild;5,70;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1,09;6,00;10,00;
61;Poliwhirl;evolution-only;2,39;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,07;;4,71;
62;Poliwrath;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,76;
63;Abra;wild;4,68;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,21;6,00;7,84;
64;Kadabra;evolution-only;1,97;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;3,92;
65;Alakazam;evolution-only;0,98;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,96;
66;Machop;wild;4,43;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,24;6,00;7,06;
67;Machoke;evolution-only;1,77;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,02;;3,53;
68;Machamp;evolution-only;0,88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,76;
69;Bellsprout;wild;5,86;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,57;7,00;10,00;
70;Weepinbell;evolution-only;2,37;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,04;;4,71;
71;Victreebel;evolution-only;0,88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,76;
72;Tentacool;wild;4,95;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,41;7,00;7,45;
73;Tentacruel;evolution-only;1,20;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,04;;2,35;
74;Geodude;wild;5,53;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,59;6,00;10,00;
74;Alolan Geodude;wild;8,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;10,00;
75;Graveler;evolution-only;2,37;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,04;;4,71;
75;Alolan Graveler;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
76;Golem;evolution-only;0,88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,76;
76;Alolan Golem;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
77;Ponyta;wild;3,85;Depends on Circumstances;Structured Spawn Data, PokemonDB Catch Rate;0,26;;7,45;
77;Galarian Ponyta;wild;5,23;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;7,45;
78;Rapidash;evolution-only;1,18;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;2,35;
78;Galarian Rapidash;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
79;Slowpoke;wild;4,33;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,53;5,00;7,45;
79;Galarian Slowpoke;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
80;Slowbro;evolution-only;1,48;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,02;;2,94;
80;Galarian Slowbro;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
81;Magnemite;wild;3,94;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,35;4,00;7,45;
82;Magneton;evolution-only;1,18;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;2,35;
83;Farfetch'd;wild;1,59;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,01;3,00;1,76;
83;Galarian Farfetch'd;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
84;Doduo;wild;4,57;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,26;6,00;7,45;
85;Dodrio;evolution-only;0,94;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,11;;1,76;
86;Seel;wild;4,53;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,14;6,00;7,45;
87;Dewgong;evolution-only;1,47;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;2,94;
88;Grimer;wild;3,83;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,03;4,00;7,45;
88;Alolan Grimer;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
89;Muk;evolution-only;1,47;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;2,94;
89;Alolan Muk;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
90;Shellder;wild;3,90;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,26;4,00;7,45;
91;Cloyster;evolution-only;1,18;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;2,35;
92;Gastly;wild;5,28;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,40;8,00;7,45;
93;Haunter;evolution-only;1,78;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,03;;3,53;
94;Gengar;evolution-only;0,88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,76;
95;Onix;wild;1,60;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,05;3,00;1,76;
96;Drowzee;wild;4,69;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1,60;5,00;7,45;
97;Hypno;evolution-only;1,50;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,05;;2,94;
98;Krabby;wild;5,29;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1,06;6,00;8,82;
99;Kingler;evolution-only;1,19;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,03;;2,35;
100;Voltorb;wild;3,93;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,33;4,00;7,45;
100;Hisuian Voltorb;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
101;Electrode;evolution-only;1,18;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;2,35;
101;Hisuian Electrode;wild;2,18;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;2,35;
102;Exeggcute;wild;2,64;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,39;4,00;3,53;
103;Exeggutor;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,76;
103;Alolan Exeggutor;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
104;Cubone;wild;3,92;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,30;4,00;7,45;
105;Marowak;evolution-only;1,48;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;2,94;
105;Alolan Marowak;wild;2,47;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;2,94;
106;Hitmonlee;wild;1,59;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,01;3,00;1,76;
107;Hitmonchan;wild;1,59;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,01;3,00;1,76;
108;Lickitung;wild;1,59;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,01;3,00;1,76;
109;Koffing;wild;3,85;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,10;4,00;7,45;
110;Weezing;evolution-only;1,18;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;2,35;
110;Galarian Weezing;wild;2,18;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;2,35;
111;Rhyhorn;wild;3,01;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,32;4,00;4,71;
112;Rhydon;evolution-only;1,18;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;2,35;
113;Chansey;wild;1,06;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,01;2,00;1,18;
114;Tangela;wild;1,96;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,11;4,00;1,76;
115;Kangaskhan;wild;1,59;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,00;3,00;1,76;
116;Horsea;wild;5,46;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,56;7,00;8,82;
117;Seadra;evolution-only;1,48;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,02;;2,94;
118;Goldeen;wild;5,97;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1,09;8,00;8,82;
119;Seaking;evolution-only;1,20;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,04;;2,35;
120;Staryu;wild;5,60;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,97;7,00;8,82;
121;Starmie;evolution-only;1,18;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,02;;2,35;
122;Mr. Mime;evolution-only;0,88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,76;
122;Galarian Mr. Mime;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
123;Scyther;wild;1,61;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,07;3,00;1,76;
124;Jynx;wild;1,65;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,17;3,00;1,76;
125;Electabuzz;wild;1,93;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,04;4,00;1,76;
126;Magmar;wild;1,94;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,05;4,00;1,76;
127;Pinsir;wild;2,09;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,49;4,00;1,76;
128;Tauros;wild;1,61;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,06;3,00;1,76;
128;Paldean Tauros;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
129;Magikarp;wild;7,13;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;2,39;9,00;10,00;
130;Gyarados;evolution-only;0,88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,76;
131;Lapras;wild;1,26;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,00;2,00;1,76;
132;Ditto;wild;1,12;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,00;2,00;1,37;
133;Eevee;wild;3,71;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1,38;8,00;1,76;
134;Vaporeon;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,76;
135;Jolteon;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,76;
136;Flareon;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,76;
137;Porygon;wild;1,26;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,01;2,00;1,76;
138;Omanyte;wild;1,61;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,07;3,00;1,76;
139;Omastar;evolution-only;0,88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,76;
140;Kabuto;wild;1,60;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,05;3,00;1,76;
141;Kabutops;evolution-only;0,88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,76;
142;Aerodactyl;wild;1,26;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,01;2,00;1,76;
143;Snorlax;wild;1,00;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,01;2,00;0,98;
144;Articuno;legendary;0,06;Never Transfer (Legendary);Structured Spawn Data, PokemonDB Catch Rate;0,00;;0,12;
144;Galarian Articuno;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
145;Zapdos;legendary;0,06;Never Transfer (Legendary);Structured Spawn Data, PokemonDB Catch Rate;0,00;;0,12;
145;Galarian Zapdos;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
146;Moltres;legendary;0,06;Never Transfer (Legendary);Structured Spawn Data, PokemonDB Catch Rate;0,00;;0,12;
146;Galarian Moltres;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
147;Dratini;wild;1,30;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0,15;2,00;1,76;
148;Dragonair;evolution-only;0,89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,01;;1,76;
149;Dragonite;evolution-only;0,88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,76;
150;Mewtwo;legendary;0,06;Never Transfer (Legendary);Structured Spawn Data, PokemonDB Catch Rate;0,00;;0,12;
151;Mew;legendary;0,88;Never Transfer (Legendary);Structured Spawn Data, PokemonDB Catch Rate;0,00;;1,76;
152;Chikorita;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
153;Bayleef;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
154;Meganium;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
