Number;Name;Spawn_Type;Average_Rarity_Score;Recommendation;Data_Sources;Structured_Spawn_Data_Score;Enhanced_Curated_Data_Score;PokemonDB_Catch_Rate_Score;Inferred_Score
405;Luxray;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
406;Budew;wild;10,00;Safe to Transfer;PokemonDB Catch Rate;;;10,00;
407;Roserade;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
408;Cranidos;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
409;Rampardos;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
410;Shieldon;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
411;Bastiodon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
412;Burmy;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
413;Wormadam;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
414;Mothim;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
415;Combee;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
416;Vespiquen;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
417;Pachirisu;wild;7,84;Safe to Transfer;PokemonDB Catch Rate;;;7,84;
418;Buizel;wild;6,73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;7,45;
419;Floatzel;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
420;Cherubi;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
421;Cherrim;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
422;Shellos;wild;6,73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;7,45;
423;Gastrodon;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
424;Ambipom;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
425;Drifloon;wild;4,95;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;4,90;
426;Drifblim;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
427;Buneary;wild;6,73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;7,45;
428;Lopunny;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
429;Mismagius;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
430;Honchkrow;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
431;Glameow;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
432;Purugly;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
433;Chingling;wild;3,35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;4,71;
434;Stunky;wild;6,91;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;8,82;
435;Skuntank;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
436;Bronzor;wild;7,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;10,00;
437;Bronzong;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
438;Bonsly;wild;6,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;10,00;
439;Mime Jr.;wild;3,84;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;5,69;
440;Happiny;wild;3,55;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;5,10;
441;Chatot;event-only;1,09;Never Transfer (Event Only);Enhanced Curated Data, PokemonDB Catch Rate;;1,00;1,18;
442;Spiritomb;event-only;2,46;Never Transfer (Event Only);Enhanced Curated Data, PokemonDB Catch Rate;;1,00;3,92;
443;Gible;wild;1,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;1,76;
444;Gabite;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
445;Garchomp;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
446;Munchlax;wild;1,98;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,96;
447;Riolu;wild;2,47;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;2,94;
448;Lucario;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
449;Hippopotas;wild;5,49;Depends on Circumstances;PokemonDB Catch Rate;;;5,49;
450;Hippowdon;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
451;Skorupi;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
452;Drapion;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
453;Croagunk;wild;5,49;Depends on Circumstances;PokemonDB Catch Rate;;;5,49;
454;Toxicroak;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
455;Carnivine;wild;4,92;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;7,84;
456;Finneon;wild;6,73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;7,45;
457;Lumineon;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
458;Mantyke;wild;1,99;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;0,98;
459;Snover;wild;5,35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;4,71;
460;Abomasnow;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
461;Weavile;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
462;Magnezone;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
463;Lickilicky;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
464;Rhyperior;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
465;Tangrowth;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
466;Electivire;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
467;Magmortar;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
468;Togekiss;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
469;Yanmega;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
470;Leafeon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
471;Glaceon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
472;Gliscor;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
473;Mamoswine;wild;1,96;Should Always Trade;PokemonDB Catch Rate;;;1,96;
474;Porygon-Z;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
475;Gallade;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
476;Probopass;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
477;Dusknoir;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
478;Froslass;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
479;Rotom;event-only;1,88;Never Transfer (Event Only);Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
480;Uxie;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
481;Mesprit;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
482;Azelf;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
483;Dialga;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
484;Palkia;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
485;Heatran;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
486;Regigigas;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
487;Giratina;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
488;Cresselia;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
489;Phione;legendary;1,18;Never Transfer (Legendary);PokemonDB Catch Rate;;;1,18;
490;Manaphy;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
491;Darkrai;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
492;Shaymin;legendary;1,76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1,76;
493;Arceus;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
494;Victini;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
495;Snivy;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
496;Servine;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
497;Serperior;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
498;Tepig;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
499;Pignite;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
500;Emboar;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
501;Oshawott;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
502;Dewott;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
503;Samurott;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
503;Hisuian Samurott;wild;1,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;1,76;
504;Patrat;wild;9,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8,00;10,00;
505;Watchog;wild;10,00;Safe to Transfer;PokemonDB Catch Rate;;;10,00;
506;Lillipup;wild;9,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8,00;10,00;
507;Herdier;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
508;Stoutland;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
509;Purrloin;wild;10,00;Safe to Transfer;PokemonDB Catch Rate;;;10,00;
510;Liepard;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
511;Pansage;wild;7,45;Safe to Transfer;PokemonDB Catch Rate;;;7,45;
512;Simisage;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
513;Pansear;wild;7,45;Safe to Transfer;PokemonDB Catch Rate;;;7,45;
514;Simisear;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
515;Panpour;wild;7,45;Safe to Transfer;PokemonDB Catch Rate;;;7,45;
516;Simipour;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
517;Munna;wild;7,45;Safe to Transfer;PokemonDB Catch Rate;;;7,45;
518;Musharna;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
519;Pidove;wild;9,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8,00;10,00;
520;Tranquill;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
521;Unfezant;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
522;Blitzle;wild;7,45;Safe to Transfer;PokemonDB Catch Rate;;;7,45;
523;Zebstrika;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
524;Roggenrola;wild;8,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;10,00;
525;Boldore;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
526;Gigalith;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
527;Woobat;wild;6,73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;7,45;
528;Swoobat;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
529;Drilbur;wild;4,85;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;4,71;
530;Excadrill;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
531;Audino;wild;7,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;10,00;
532;Timburr;wild;5,53;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,06;
533;Gurdurr;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
534;Conkeldurr;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
535;Tympole;wild;8,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;10,00;
536;Palpitoad;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
537;Seismitoad;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
538;Throh;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
539;Sawk;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
540;Sewaddle;wild;7,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;10,00;
541;Swadloon;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
542;Leavanny;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
543;Venipede;wild;7,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;10,00;
544;Whirlipede;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
545;Scolipede;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
546;Cottonee;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
547;Whimsicott;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
548;Petilil;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
549;Lilligant;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
549;Hisuian Lilligant;wild;1,97;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;2,94;
550;Basculin;wild;2,99;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;0,98;
551;Sandile;wild;6,03;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,06;
552;Krokorok;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
553;Krookodile;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
554;Darumaka;wild;4,85;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;4,71;
554;Galarian Darumaka;wild;3,85;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;4,71;
555;Darmanitan;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
555;Galarian Darmanitan;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
556;Maractus;wild;6,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;10,00;
557;Dwebble;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
558;Crustle;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
559;Scraggy;wild;6,03;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,06;
560;Scrafty;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
561;Sigilyph;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
562;Yamask;wild;5,23;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;7,45;
562;Galarian Yamask;wild;5,23;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;7,45;
563;Cofagrigus;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
564;Tirtouga;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
565;Carracosta;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
566;Archen;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
567;Archeops;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
568;Trubbish;wild;6,73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;7,45;
569;Garbodor;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
570;Zorua;wild;1,97;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;2,94;
570;Hisuian Zorua;wild;1,97;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;2,94;
571;Zoroark;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
571;Hisuian Zoroark;wild;1,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;1,76;
572;Minccino;wild;7,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;10,00;
573;Cinccino;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
574;Gothita;wild;6,42;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,84;
575;Gothorita;wild;3,92;Depends on Circumstances;PokemonDB Catch Rate;;;3,92;
576;Gothitelle;wild;1,96;Should Always Trade;PokemonDB Catch Rate;;;1,96;
577;Solosis;wild;6,42;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,84;
578;Duosion;wild;3,92;Depends on Circumstances;PokemonDB Catch Rate;;;3,92;
579;Reuniclus;wild;1,96;Should Always Trade;PokemonDB Catch Rate;;;1,96;
580;Ducklett;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
581;Swanna;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
582;Vanillite;wild;7,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;10,00;
583;Vanillish;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
584;Vanilluxe;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
585;Deerling;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
586;Sawsbuck;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
587;Emolga;wild;4,92;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;7,84;
588;Karrablast;wild;5,42;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;7,84;
589;Escavalier;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
590;Foongus;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
591;Amoonguss;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
592;Frillish;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
593;Jellicent;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
594;Alomomola;wild;2,47;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;2,94;
595;Joltik;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
596;Galvantula;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
597;Ferroseed;wild;7,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;10,00;
598;Ferrothorn;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
599;Klink;wild;4,55;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;5,10;
600;Klang;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
601;Klinklang;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
602;Tynamo;wild;4,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;7,45;
603;Eelektrik;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
604;Eelektross;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
605;Elgyem;wild;6,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;10,00;
606;Beheeyem;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
607;Litwick;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
608;Lampent;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
609;Chandelure;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
610;Axew;wild;1,97;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;2,94;
611;Fraxure;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
612;Haxorus;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
613;Cubchoo;wild;4,85;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;4,71;
614;Beartic;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
615;Cryogonal;wild;1,49;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;0,98;
616;Shelmet;wild;5,92;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,84;
617;Accelgor;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
618;Stunfisk;wild;2,47;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;2,94;
618;Galarian Stunfisk;wild;2,97;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;2,94;
619;Mienfoo;wild;6,03;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,06;
620;Mienshao;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
621;Druddigon;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
622;Golett;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
623;Golurk;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
624;Pawniard;wild;4,35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;4,71;
625;Bisharp;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
626;Bouffalant;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
627;Rufflet;wild;4,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;7,45;
628;Braviary;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
628;Hisuian Braviary;wild;1,68;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;2,35;
629;Vullaby;wild;4,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;7,45;
630;Mandibuzz;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
631;Heatmor;wild;2,76;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;3,53;
632;Durant;wild;2,76;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;3,53;
633;Deino;wild;1,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;1,76;
634;Zweilous;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
635;Hydreigon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
636;Larvesta;wild;1,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;1,76;
637;Volcarona;wild;0,59;Should Always Trade;PokemonDB Catch Rate;;;0,59;
638;Cobalion;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
639;Terrakion;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
640;Virizion;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
641;Tornadus;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
642;Thundurus;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
643;Reshiram;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
644;Zekrom;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
645;Landorus;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
646;Kyurem;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
647;Keldeo;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
