Number;Name;Spawn_Type;Average_Rarity_Score;Recommendation;Data_Sources;Structured_Spawn_Data_Score;Enhanced_Curated_Data_Score;PokemonDB_Catch_Rate_Score;Inferred_Score
648;Meloetta;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
649;Genesect;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
650;Chespin;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
651;Quilladin;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
652;Chesnaught;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
653;Fennekin;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
654;Braixen;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
655;Delphox;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
656;Froakie;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
657;Frogadier;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
658;Greninja;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
659;Bunnelby;wild;9,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8,00;10,00;
660;Diggersby;wild;4,98;Depends on Circumstances;PokemonDB Catch Rate;;;4,98;
661;Fletchling;wild;9,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8,00;10,00;
662;Fletchinder;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
663;Talonflame;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
664;Scatterbug;wild;10,00;Safe to Transfer;PokemonDB Catch Rate;;;10,00;
665;Spewpa;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
666;Vivillon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
667;Litleo;wild;6,81;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;8,63;
668;Pyroar;wild;2,55;Should Always Trade;PokemonDB Catch Rate;;;2,55;
669;Flabébé;wild;6,91;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;8,82;
670;Floette;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
671;Florges;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
672;Skiddo;wild;6,42;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,84;
673;Gogoat;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
674;Pancham;wild;6,31;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;8,63;
675;Pangoro;wild;2,55;Should Always Trade;PokemonDB Catch Rate;;;2,55;
676;Furfrou;wild;4,64;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;6,27;
677;Espurr;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
678;Meowstic;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
679;Honedge;wild;5,53;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,06;
680;Doublade;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
681;Aegislash;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
682;Spritzee;wild;5,92;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,84;
683;Aromatisse;wild;5,49;Depends on Circumstances;PokemonDB Catch Rate;;;5,49;
684;Swirlix;wild;5,92;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,84;
685;Slurpuff;wild;5,49;Depends on Circumstances;PokemonDB Catch Rate;;;5,49;
686;Inkay;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
687;Malamar;wild;3,14;Depends on Circumstances;PokemonDB Catch Rate;;;3,14;
688;Binacle;wild;4,85;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;4,71;
689;Barbaracle;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
690;Skrelp;wild;6,91;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;8,82;
691;Dragalge;wild;2,16;Should Always Trade;PokemonDB Catch Rate;;;2,16;
692;Clauncher;wild;6,91;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;8,82;
693;Clawitzer;wild;2,16;Should Always Trade;PokemonDB Catch Rate;;;2,16;
694;Helioptile;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
695;Heliolisk;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
696;Tyrunt;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
697;Tyrantrum;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
698;Amaura;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
699;Aurorus;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
700;Sylveon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
701;Hawlucha;wild;3,96;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;3,92;
702;Dedenne;wild;5,53;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,06;
703;Carbink;wild;2,68;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;2,35;
704;Goomy;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
705;Sliggoo;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
705;Hisuian Sliggoo;wild;1,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;1,76;
706;Goodra;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
706;Hisuian Goodra;wild;1,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;1,76;
707;Klefki;wild;3,47;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;2,94;
708;Phantump;wild;4,35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;4,71;
709;Trevenant;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
710;Pumpkaboo;wild;4,35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;4,71;
711;Gourgeist;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
712;Bergmite;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
713;Avalugg;wild;2,16;Should Always Trade;PokemonDB Catch Rate;;;2,16;
713;Hisuian Avalugg;wild;1,58;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;2,16;
714;Noibat;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
715;Noivern;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
716;Xerneas;legendary;1,76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1,76;
717;Yveltal;legendary;1,76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1,76;
718;Zygarde;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
719;Diancie;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
720;Hoopa;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
721;Volcanion;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
722;Rowlet;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
723;Dartrix;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
724;Decidueye;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
724;Hisuian Decidueye;wild;1,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;1,76;
725;Litten;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
726;Torracat;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
727;Incineroar;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
728;Popplio;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
729;Brionne;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
730;Primarina;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
731;Pikipek;wild;9,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8,00;10,00;
732;Trumbeak;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
733;Toucannon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
734;Yungoos;wild;9,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8,00;10,00;
735;Gumshoos;wild;4,98;Depends on Circumstances;PokemonDB Catch Rate;;;4,98;
736;Grubbin;wild;7,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;10,00;
737;Charjabug;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
738;Vikavolt;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
739;Crabrawler;wild;6,41;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;8,82;
740;Crabominable;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
741;Oricorio;wild;2,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;1,76;
742;Cutiefly;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
743;Ribombee;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
744;Rockruff;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
745;Lycanroc;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
746;Wishiwashi;wild;3,18;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;2,35;
747;Mareanie;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
748;Toxapex;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
749;Mudbray;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
750;Mudsdale;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
751;Dewpider;wild;6,42;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,84;
752;Araquanid;wild;3,92;Depends on Circumstances;PokemonDB Catch Rate;;;3,92;
753;Fomantis;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
754;Lurantis;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
755;Morelull;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
756;Shiinotic;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
757;Salandit;wild;4,35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;4,71;
758;Salazzle;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
759;Stufful;wild;5,25;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;5,49;
760;Bewear;wild;2,75;Should Always Trade;PokemonDB Catch Rate;;;2,75;
761;Bounsweet;wild;7,11;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;9,22;
762;Steenee;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
763;Tsareena;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
764;Comfey;wild;2,68;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;2,35;
765;Oranguru;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
766;Passimian;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
767;Wimpod;wild;3,76;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;3,53;
768;Golisopod;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
769;Sandygast;wild;4,75;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;5,49;
770;Palossand;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
771;Pyukumuku;wild;2,68;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;2,35;
772;Type: Null;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
773;Silvally;wild;0,12;Should Always Trade;PokemonDB Catch Rate;;;0,12;
774;Minior;event-only;2,09;Never Transfer (Event Only);Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,18;
775;Komala;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
776;Turtonator;wild;2,37;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;2,75;
777;Togedemaru;wild;5,53;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,06;
778;Mimikyu;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
779;Bruxish;wild;3,57;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;3,14;
780;Drampa;wild;2,37;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;2,75;
781;Dhelmise;wild;1,49;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;0,98;
782;Jangmo-o;wild;1,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;1,76;
783;Hakamo-o;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
784;Kommo-o;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
785;Tapu Koko;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
786;Tapu Lele;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
787;Tapu Bulu;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
788;Tapu Fini;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
789;Cosmog;legendary;1,76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1,76;
790;Cosmoem;legendary;1,76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1,76;
791;Solgaleo;legendary;1,76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1,76;
792;Lunala;legendary;1,76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1,76;
793;Necrozma;legendary;10,00;Never Transfer (Legendary);PokemonDB Catch Rate;;;10,00;
794;Magearna;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
795;Marshadow;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
803;Poipole;legendary;1,76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1,76;
804;Naganadel;legendary;1,76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1,76;
805;Stakataka;legendary;1,18;Never Transfer (Legendary);PokemonDB Catch Rate;;;1,18;
806;Blacephalon;legendary;1,18;Never Transfer (Legendary);PokemonDB Catch Rate;;;1,18;
807;Zeraora;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
808;Meltan;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
809;Melmetal;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
810;Grookey;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
811;Thwackey;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
812;Rillaboom;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
813;Scorbunny;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
814;Raboot;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
815;Cinderace;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
816;Sobble;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
817;Drizzile;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
818;Inteleon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
819;Skwovet;wild;9,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8,00;10,00;
820;Greedent;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
821;Rookidee;wild;9,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8,00;10,00;
822;Corvisquire;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
823;Corviknight;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
824;Blipbug;wild;9,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8,00;10,00;
825;Dottler;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
826;Orbeetle;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
827;Nickit;wild;8,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;10,00;
828;Thievul;wild;4,98;Depends on Circumstances;PokemonDB Catch Rate;;;4,98;
829;Gossifleur;wild;7,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7,00;7,45;
830;Eldegoss;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
831;Wooloo;wild;8,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7,00;10,00;
832;Dubwool;wild;4,98;Depends on Circumstances;PokemonDB Catch Rate;;;4,98;
833;Chewtle;wild;8,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7,00;10,00;
834;Drednaw;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
835;Yamper;wild;8,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;10,00;
836;Boltund;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
837;Rolycoly;wild;10,00;Safe to Transfer;PokemonDB Catch Rate;;;10,00;
838;Carkol;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
839;Coalossal;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
840;Applin;wild;7,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;10,00;
841;Flapple;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
842;Appletun;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
843;Silicobra;wild;7,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;10,00;
844;Sandaconda;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
845;Cramorant;wild;2,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;1,76;
846;Arrokuda;wild;7,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;10,00;
847;Barraskewda;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
848;Toxel;wild;3,47;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;2,94;
849;Toxtricity;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
850;Sizzlipede;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
851;Centiskorch;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
852;Clobbopus;wild;5,53;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,06;
853;Grapploct;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
854;Sinistea;wild;4,35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;4,71;
855;Polteageist;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
856;Hatenna;wild;6,61;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;9,22;
857;Hattrem;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
858;Hatterene;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
859;Impidimp;wild;7,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;10,00;
860;Morgrem;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
861;Grimmsnarl;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
862;Obstagoon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
863;Perrserker;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
864;Cursola;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
865;Sirfetch'd;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
866;Mr. Rime;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
867;Runerigus;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
868;Milcery;wild;5,42;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;7,84;
869;Alcremie;wild;3,92;Depends on Circumstances;PokemonDB Catch Rate;;;3,92;
870;Falinks;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
871;Pincurchin;wild;3,47;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;2,94;
872;Snom;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
873;Frosmoth;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
874;Stonjourner;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
875;Eiscue;wild;2,68;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;2,35;
876;Indeedee;wild;2,09;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,18;
877;Morpeko;wild;5,03;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;7,06;
878;Cufant;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
879;Copperajah;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
880;Dracozolt;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
881;Arctozolt;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
882;Dracovish;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
883;Arctovish;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
884;Duraludon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
885;Dreepy;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
886;Drakloak;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
887;Dragapult;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
888;Zacian;legendary;0,39;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,39;
889;Zamazenta;legendary;0,39;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,39;
890;Eternatus;legendary;10,00;Never Transfer (Legendary);PokemonDB Catch Rate;;;10,00;
891;Kubfu;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
892;Urshifu;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
893;Zarude;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
894;Regieleki;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
895;Regidrago;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
896;Glastrier;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
897;Spectrier;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
898;Calyrex;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
980;Paldean Clodsire;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
