Number;Name;Spawn_Type;Average_Rarity_Score;Recommendation;Data_Sources;Structured_Spawn_Data_Score;Enhanced_Curated_Data_Score;PokemonDB_Catch_Rate_Score;rarity_score_final
1;Bulbasaur;wild;2.70;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.34;6.00;1.76;0.62
2;Ivysaur;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.02;;1.76;0.00
3;Venusaur;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.76;0.00
4;Charmander;wild;2.63;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.13;6.00;1.76;0.60
5;Charmeleon;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.76;0.00
6;Charizard;evolution-only;0.88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.76;0.00
7;Squirtle;wild;2.68;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.29;6.00;1.76;0.62
8;Wartortle;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.02;;1.76;0.00
9;Blastoise;evolution-only;0.88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.76;0.00
10;Caterpie;wild;6.51;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1.52;8.00;10.00;5.29
11;Metapod;evolution-only;2.40;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.09;;4.71;0.05
12;Butterfree;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.76;0.00
13;Weedle;wild;7.19;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;3.56;8.00;10.00;6.42
14;Kakuna;evolution-only;2.46;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.22;;4.71;0.12
15;Beedrill;evolution-only;0.90;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.03;;1.76;0.01
16;Pidgey;wild;9.33;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;7.99;10.00;10.00;9.99
17;Pidgeotto;evolution-only;2.61;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.51;;4.71;0.27
18;Pidgeot;evolution-only;0.91;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.07;;1.76;0.01
19;Rattata;wild;8.51;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;6.53;9.00;10.00;8.63
19;Alolan Rattata;wild;8.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;10.00;6.67
20;Raticate;evolution-only;2.59;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.20;;4.98;0.11
20;Alolan Raticate;wild;4.98;Depends on Circumstances;PokemonDB Catch Rate;;;4.98;0.00
21;Spearow;wild;6.46;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;2.37;7.00;10.00;5.21
22;Fearow;evolution-only;1.80;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.07;;3.53;0.03
23;Ekans;wild;5.57;Depends on Circumstances;Structured Spawn Data, PokemonDB Catch Rate;1.14;;10.00;1.27
24;Arbok;evolution-only;1.78;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.04;;3.53;0.02
25;Pikachu;wild;4.52;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.10;6.00;7.45;2.52
26;Raichu;evolution-only;1.47;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;2.94;0.00
26;Alolan Raichu;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
27;Sandshrew;wild;5.52;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.56;6.00;10.00;3.64
27;Alolan Sandshrew;wild;7.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;10.00;4.44
28;Sandslash;evolution-only;1.77;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.02;;3.53;0.01
28;Alolan Sandslash;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
29;Nidoran♀;wild;7.61;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;9.22;6.15
30;Nidorina;evolution-only;2.37;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.04;;4.71;0.02
31;Nidoqueen;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.76;0.00
32;Nidoran♂;wild;7.61;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;9.22;6.15
33;Nidorino;evolution-only;2.37;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.04;;4.71;0.02
34;Nidoking;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.76;0.00
35;Clefairy;wild;3.45;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.46;4.00;5.88;1.46
36;Clefable;evolution-only;0.49;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;0.98;0.00
37;Vulpix;wild;4.19;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.11;5.00;7.45;2.11
37;Alolan Vulpix;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
38;Ninetales;evolution-only;1.47;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;2.94;0.00
38;Alolan Ninetales;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
39;Jigglypuff;wild;3.62;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.20;4.00;6.67;1.56
40;Wigglytuff;evolution-only;0.98;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.96;0.00
41;Zubat;wild;7.09;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;3.26;8.00;10.00;6.26
42;Golbat;evolution-only;1.87;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.21;;3.53;0.08
43;Oddish;wild;5.84;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.51;7.00;10.00;4.17
44;Gloom;evolution-only;2.37;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.03;;4.71;0.02
45;Vileplume;evolution-only;0.88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.76;0.00
46;Paras;wild;5.21;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1.18;7.00;7.45;3.39
47;Parasect;evolution-only;1.49;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.04;;2.94;0.01
48;Venonat;wild;5.20;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1.14;7.00;7.45;3.37
49;Venomoth;evolution-only;1.49;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.04;;2.94;0.01
50;Diglett;wild;5.10;Depends on Circumstances;Structured Spawn Data, PokemonDB Catch Rate;0.20;;10.00;0.22
50;Alolan Diglett;wild;7.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;10.00;5.56
51;Dugtrio;evolution-only;0.98;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.96;0.00
51;Alolan Dugtrio;wild;1.96;Should Always Trade;PokemonDB Catch Rate;;;1.96;0.00
52;Meowth;wild;5.21;Depends on Circumstances;Structured Spawn Data, PokemonDB Catch Rate;0.43;;10.00;0.48
52;Alolan Meowth;wild;7.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;10.00;5.56
52;Galarian Meowth;wild;7.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;10.00;4.44
53;Persian;evolution-only;1.77;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;3.53;0.00
53;Alolan Persian;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
54;Psyduck;wild;5.24;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1.27;7.00;7.45;3.42
55;Golduck;evolution-only;1.49;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.04;;2.94;0.01
56;Mankey;wild;3.96;Depends on Circumstances;Structured Spawn Data, PokemonDB Catch Rate;0.46;;7.45;0.38
57;Primeape;evolution-only;1.48;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.02;;2.94;0.01
58;Growlithe;wild;3.96;Depends on Circumstances;Structured Spawn Data, PokemonDB Catch Rate;0.46;;7.45;0.38
59;Arcanine;evolution-only;1.47;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;2.94;0.00
60;Poliwag;wild;5.70;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1.09;6.00;10.00;3.94
61;Poliwhirl;evolution-only;2.39;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.07;;4.71;0.04
62;Poliwrath;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.76;0.00
63;Abra;wild;4.68;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.21;6.00;7.84;2.70
64;Kadabra;evolution-only;1.97;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;3.92;0.00
65;Alakazam;evolution-only;0.98;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.96;0.00
66;Machop;wild;4.43;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.24;6.00;7.06;2.45
67;Machoke;evolution-only;1.77;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.02;;3.53;0.01
68;Machamp;evolution-only;0.88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.76;0.00
69;Bellsprout;wild;5.86;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.57;7.00;10.00;4.21
70;Weepinbell;evolution-only;2.37;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.04;;4.71;0.02
71;Victreebel;evolution-only;0.88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.76;0.00
72;Tentacool;wild;4.95;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.41;7.00;7.45;3.07
73;Tentacruel;evolution-only;1.20;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.04;;2.35;0.01
74;Geodude;wild;5.53;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.59;6.00;10.00;3.66
74;Alolan Geodude;wild;8.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;10.00;6.67
75;Graveler;evolution-only;2.37;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.04;;4.71;0.02
75;Alolan Graveler;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
76;Golem;evolution-only;0.88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.76;0.00
76;Alolan Golem;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
77;Ponyta;wild;3.85;Depends on Circumstances;Structured Spawn Data, PokemonDB Catch Rate;0.26;;7.45;0.22
77;Galarian Ponyta;wild;5.23;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;7.45;2.48
78;Rapidash;evolution-only;1.18;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;2.35;0.00
78;Galarian Rapidash;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
79;Slowpoke;wild;4.33;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.53;5.00;7.45;2.29
79;Galarian Slowpoke;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
80;Slowbro;evolution-only;1.48;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.02;;2.94;0.01
80;Galarian Slowbro;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
81;Magnemite;wild;3.94;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.35;4.00;7.45;1.80
82;Magneton;evolution-only;1.18;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;2.35;0.00
83;Farfetch'd;wild;1.59;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.01;3.00;1.76;0.29
83;Galarian Farfetch'd;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
84;Doduo;wild;4.57;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.26;6.00;7.45;2.59
85;Dodrio;evolution-only;0.94;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.11;;1.76;0.02
86;Seel;wild;4.53;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.14;6.00;7.45;2.54
87;Dewgong;evolution-only;1.47;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;2.94;0.00
88;Grimer;wild;3.83;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.03;4.00;7.45;1.67
88;Alolan Grimer;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
89;Muk;evolution-only;1.47;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;2.94;0.00
89;Alolan Muk;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
90;Shellder;wild;3.90;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.26;4.00;7.45;1.76
91;Cloyster;evolution-only;1.18;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;2.35;0.00
92;Gastly;wild;5.28;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.40;8.00;7.45;3.48
93;Haunter;evolution-only;1.78;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.03;;3.53;0.01
94;Gengar;evolution-only;0.88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.76;0.00
95;Onix;wild;1.60;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.05;3.00;1.76;0.30
96;Drowzee;wild;4.69;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1.60;5.00;7.45;2.73
97;Hypno;evolution-only;1.50;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.05;;2.94;0.02
98;Krabby;wild;5.29;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1.06;6.00;8.82;3.46
99;Kingler;evolution-only;1.19;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.03;;2.35;0.01
100;Voltorb;wild;3.93;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.33;4.00;7.45;1.79
100;Hisuian Voltorb;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
101;Electrode;evolution-only;1.18;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;2.35;0.00
101;Hisuian Electrode;wild;2.18;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;2.35;0.52
102;Exeggcute;wild;2.64;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.39;4.00;3.53;0.86
103;Exeggutor;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.76;0.00
103;Alolan Exeggutor;wild;1.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.76;0.39
104;Cubone;wild;3.92;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.30;4.00;7.45;1.78
105;Marowak;evolution-only;1.48;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;2.94;0.00
105;Alolan Marowak;wild;2.47;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;2.94;0.65
106;Hitmonlee;wild;1.59;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.01;3.00;1.76;0.29
107;Hitmonchan;wild;1.59;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.01;3.00;1.76;0.29
108;Lickitung;wild;1.59;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.01;3.00;1.76;0.29
109;Koffing;wild;3.85;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.10;4.00;7.45;1.70
110;Weezing;evolution-only;1.18;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;2.35;0.00
110;Galarian Weezing;wild;2.18;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;2.35;0.52
111;Rhyhorn;wild;3.01;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.32;4.00;4.71;1.13
112;Rhydon;evolution-only;1.18;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;2.35;0.00
113;Chansey;wild;1.06;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.01;2.00;1.18;0.13
114;Tangela;wild;1.96;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.11;4.00;1.76;0.40
115;Kangaskhan;wild;1.59;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.00;3.00;1.76;0.29
116;Horsea;wild;5.46;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.56;7.00;8.82;3.70
117;Seadra;evolution-only;1.48;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.02;;2.94;0.01
118;Goldeen;wild;5.97;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1.09;8.00;8.82;4.45
119;Seaking;evolution-only;1.20;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.04;;2.35;0.01
120;Staryu;wild;5.60;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.97;7.00;8.82;3.91
121;Starmie;evolution-only;1.18;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.02;;2.35;0.01
122;Mr. Mime;evolution-only;0.88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.76;0.00
122;Galarian Mr. Mime;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
123;Scyther;wild;1.61;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.07;3.00;1.76;0.30
124;Jynx;wild;1.65;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.17;3.00;1.76;0.31
125;Electabuzz;wild;1.93;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.04;4.00;1.76;0.40
126;Magmar;wild;1.94;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.05;4.00;1.76;0.40
127;Pinsir;wild;2.09;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.49;4.00;1.76;0.44
128;Tauros;wild;1.61;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.06;3.00;1.76;0.30
128;Paldean Tauros;wild;1.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.76;0.39
129;Magikarp;wild;7.13;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;2.39;9.00;10.00;6.33
130;Gyarados;evolution-only;0.88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.76;0.00
131;Lapras;wild;1.26;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.00;2.00;1.76;0.20
132;Ditto;wild;1.12;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.00;2.00;1.37;0.15
133;Eevee;wild;3.71;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1.38;8.00;1.76;0.92
134;Vaporeon;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.76;0.00
135;Jolteon;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.76;0.00
136;Flareon;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.76;0.00
137;Porygon;wild;1.26;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.01;2.00;1.76;0.20
138;Omanyte;wild;1.61;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.07;3.00;1.76;0.30
139;Omastar;evolution-only;0.88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.76;0.00
140;Kabuto;wild;1.60;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.05;3.00;1.76;0.30
141;Kabutops;evolution-only;0.88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.76;0.00
142;Aerodactyl;wild;1.26;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.01;2.00;1.76;0.20
143;Snorlax;wild;1.00;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.01;2.00;0.98;0.11
144;Articuno;legendary;0.06;Never Transfer (Legendary);Structured Spawn Data, PokemonDB Catch Rate;0.00;;0.12;0.00
144;Galarian Articuno;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
145;Zapdos;legendary;0.06;Never Transfer (Legendary);Structured Spawn Data, PokemonDB Catch Rate;0.00;;0.12;0.00
145;Galarian Zapdos;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
146;Moltres;legendary;0.06;Never Transfer (Legendary);Structured Spawn Data, PokemonDB Catch Rate;0.00;;0.12;0.00
146;Galarian Moltres;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
147;Dratini;wild;1.30;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.15;2.00;1.76;0.21
148;Dragonair;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.76;0.00
149;Dragonite;evolution-only;0.88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.76;0.00
150;Mewtwo;legendary;0.06;Never Transfer (Legendary);Structured Spawn Data, PokemonDB Catch Rate;0.00;;0.12;0.00
151;Mew;legendary;0.88;Never Transfer (Legendary);Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.76;0.00
152;Chikorita;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
153;Bayleef;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
154;Meganium;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
155;Cyndaquil;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
156;Quilava;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
