Number;Name;Spawn_Type;Average_Rarity_Score;Recommendation;Data_Sources;Structured_Spawn_Data_Score;Enhanced_Curated_Data_Score;PokemonDB_Catch_Rate_Score;rarity_score_final
649;Genesect;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
650;Chespin;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
651;Quilladin;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
652;Chesnaught;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
653;Fennekin;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
654;Braixen;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
655;Delphox;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
656;Froakie;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
657;Frogadier;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
658;Greninja;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
659;Bunnelby;wild;9.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8.00;10.00;8.89
660;Diggersby;wild;4.98;Depends on Circumstances;PokemonDB Catch Rate;;;4.98;0.00
661;Fletchling;wild;9.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8.00;10.00;8.89
662;Fletchinder;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
663;Talonflame;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
664;Scatterbug;wild;10.00;Safe to Transfer;PokemonDB Catch Rate;;;10.00;0.00
665;Spewpa;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
666;Vivillon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
667;Litleo;wild;6.81;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;8.63;4.79
668;Pyroar;wild;2.55;Should Always Trade;PokemonDB Catch Rate;;;2.55;0.00
669;Flabébé;wild;6.91;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;8.82;4.90
670;Floette;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
671;Florges;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
672;Skiddo;wild;6.42;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.84;4.36
673;Gogoat;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
674;Pancham;wild;6.31;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;8.63;3.84
675;Pangoro;wild;2.55;Should Always Trade;PokemonDB Catch Rate;;;2.55;0.00
676;Furfrou;wild;4.64;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;6.27;2.09
677;Espurr;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
678;Meowstic;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
679;Honedge;wild;5.53;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.06;3.14
680;Doublade;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
681;Aegislash;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
682;Spritzee;wild;5.92;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.84;3.48
683;Aromatisse;wild;5.49;Depends on Circumstances;PokemonDB Catch Rate;;;5.49;0.00
684;Swirlix;wild;5.92;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.84;3.48
685;Slurpuff;wild;5.49;Depends on Circumstances;PokemonDB Catch Rate;;;5.49;0.00
686;Inkay;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
687;Malamar;wild;3.14;Depends on Circumstances;PokemonDB Catch Rate;;;3.14;0.00
688;Binacle;wild;4.85;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;4.71;2.62
689;Barbaracle;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
690;Skrelp;wild;6.91;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;8.82;4.90
691;Dragalge;wild;2.16;Should Always Trade;PokemonDB Catch Rate;;;2.16;0.00
692;Clauncher;wild;6.91;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;8.82;4.90
693;Clawitzer;wild;2.16;Should Always Trade;PokemonDB Catch Rate;;;2.16;0.00
694;Helioptile;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
695;Heliolisk;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
696;Tyrunt;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
697;Tyrantrum;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
698;Amaura;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
699;Aurorus;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
700;Sylveon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
701;Hawlucha;wild;3.96;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;3.92;1.74
702;Dedenne;wild;5.53;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.06;3.14
703;Carbink;wild;2.68;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;2.35;0.78
704;Goomy;wild;1.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.76;0.39
705;Sliggoo;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
705;Hisuian Sliggoo;wild;1.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;1.76;0.20
706;Goodra;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
706;Hisuian Goodra;wild;1.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;1.76;0.20
707;Klefki;wild;3.47;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;2.94;1.31
708;Phantump;wild;4.35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;4.71;2.09
709;Trevenant;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
710;Pumpkaboo;wild;4.35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;4.71;2.09
711;Gourgeist;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
712;Bergmite;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
713;Avalugg;wild;2.16;Should Always Trade;PokemonDB Catch Rate;;;2.16;0.00
713;Hisuian Avalugg;wild;1.58;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;2.16;0.24
714;Noibat;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
715;Noivern;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
716;Xerneas;legendary;1.76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1.76;0.00
717;Yveltal;legendary;1.76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1.76;0.00
718;Zygarde;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
719;Diancie;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
720;Hoopa;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
721;Volcanion;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
722;Rowlet;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
723;Dartrix;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
724;Decidueye;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
724;Hisuian Decidueye;wild;1.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;1.76;0.20
725;Litten;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
726;Torracat;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
727;Incineroar;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
728;Popplio;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
729;Brionne;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
730;Primarina;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
731;Pikipek;wild;9.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8.00;10.00;8.89
732;Trumbeak;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
733;Toucannon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
734;Yungoos;wild;9.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8.00;10.00;8.89
735;Gumshoos;wild;4.98;Depends on Circumstances;PokemonDB Catch Rate;;;4.98;0.00
736;Grubbin;wild;7.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;10.00;5.56
737;Charjabug;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
738;Vikavolt;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
739;Crabrawler;wild;6.41;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;8.82;3.92
740;Crabominable;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
741;Oricorio;wild;2.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;1.76;0.78
742;Cutiefly;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
743;Ribombee;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
744;Rockruff;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
745;Lycanroc;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
746;Wishiwashi;wild;3.18;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;2.35;1.04
747;Mareanie;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
748;Toxapex;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
749;Mudbray;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
750;Mudsdale;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
751;Dewpider;wild;6.42;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.84;4.36
752;Araquanid;wild;3.92;Depends on Circumstances;PokemonDB Catch Rate;;;3.92;0.00
753;Fomantis;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
754;Lurantis;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
755;Morelull;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
756;Shiinotic;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
757;Salandit;wild;4.35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;4.71;2.09
758;Salazzle;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
759;Stufful;wild;5.25;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;5.49;3.05
760;Bewear;wild;2.75;Should Always Trade;PokemonDB Catch Rate;;;2.75;0.00
761;Bounsweet;wild;7.11;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;9.22;5.12
762;Steenee;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
763;Tsareena;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
764;Comfey;wild;2.68;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;2.35;0.78
765;Oranguru;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
766;Passimian;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
767;Wimpod;wild;3.76;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;3.53;1.57
768;Golisopod;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
769;Sandygast;wild;4.75;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;5.49;2.44
770;Palossand;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
771;Pyukumuku;wild;2.68;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;2.35;0.78
772;Type: Null;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
773;Silvally;wild;0.12;Should Always Trade;PokemonDB Catch Rate;;;0.12;0.00
774;Minior;event-only;2.09;Never Transfer (Event Only);Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.18;0.39
775;Komala;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
776;Turtonator;wild;2.37;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;2.75;0.61
777;Togedemaru;wild;5.53;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.06;3.14
778;Mimikyu;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
779;Bruxish;wild;3.57;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;3.14;1.40
780;Drampa;wild;2.37;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;2.75;0.61
781;Dhelmise;wild;1.49;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;0.98;0.22
782;Jangmo-o;wild;1.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;1.76;0.20
783;Hakamo-o;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
784;Kommo-o;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
785;Tapu Koko;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
786;Tapu Lele;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
787;Tapu Bulu;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
788;Tapu Fini;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
789;Cosmog;legendary;1.76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1.76;0.00
790;Cosmoem;legendary;1.76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1.76;0.00
791;Solgaleo;legendary;1.76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1.76;0.00
792;Lunala;legendary;1.76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1.76;0.00
793;Necrozma;legendary;10.00;Never Transfer (Legendary);PokemonDB Catch Rate;;;10.00;0.00
794;Magearna;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
795;Marshadow;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
803;Poipole;legendary;1.76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1.76;0.00
804;Naganadel;legendary;1.76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1.76;0.00
805;Stakataka;legendary;1.18;Never Transfer (Legendary);PokemonDB Catch Rate;;;1.18;0.00
806;Blacephalon;legendary;1.18;Never Transfer (Legendary);PokemonDB Catch Rate;;;1.18;0.00
807;Zeraora;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
808;Meltan;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
809;Melmetal;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
810;Grookey;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
811;Thwackey;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
812;Rillaboom;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
813;Scorbunny;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
814;Raboot;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
815;Cinderace;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
816;Sobble;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
817;Drizzile;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
818;Inteleon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
819;Skwovet;wild;9.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8.00;10.00;8.89
820;Greedent;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
821;Rookidee;wild;9.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8.00;10.00;8.89
822;Corvisquire;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
823;Corviknight;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
824;Blipbug;wild;9.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8.00;10.00;8.89
825;Dottler;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
826;Orbeetle;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
827;Nickit;wild;8.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;10.00;6.67
828;Thievul;wild;4.98;Depends on Circumstances;PokemonDB Catch Rate;;;4.98;0.00
829;Gossifleur;wild;7.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7.00;7.45;5.79
830;Eldegoss;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
831;Wooloo;wild;8.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7.00;10.00;7.78
832;Dubwool;wild;4.98;Depends on Circumstances;PokemonDB Catch Rate;;;4.98;0.00
833;Chewtle;wild;8.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7.00;10.00;7.78
834;Drednaw;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
835;Yamper;wild;8.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;10.00;6.67
836;Boltund;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
837;Rolycoly;wild;10.00;Safe to Transfer;PokemonDB Catch Rate;;;10.00;0.00
838;Carkol;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
839;Coalossal;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
840;Applin;wild;7.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;10.00;4.44
841;Flapple;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
842;Appletun;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
843;Silicobra;wild;7.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;10.00;5.56
844;Sandaconda;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
845;Cramorant;wild;2.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;1.76;0.78
846;Arrokuda;wild;7.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;10.00;5.56
847;Barraskewda;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
848;Toxel;wild;3.47;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;2.94;1.31
849;Toxtricity;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
850;Sizzlipede;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
851;Centiskorch;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
852;Clobbopus;wild;5.53;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.06;3.14
853;Grapploct;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
854;Sinistea;wild;4.35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;4.71;2.09
855;Polteageist;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
856;Hatenna;wild;6.61;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;9.22;4.10
857;Hattrem;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
858;Hatterene;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
859;Impidimp;wild;7.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;10.00;4.44
860;Morgrem;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
861;Grimmsnarl;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
862;Obstagoon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
863;Perrserker;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
864;Cursola;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
865;Sirfetch'd;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
866;Mr. Rime;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
867;Runerigus;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
868;Milcery;wild;5.42;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;7.84;2.61
869;Alcremie;wild;3.92;Depends on Circumstances;PokemonDB Catch Rate;;;3.92;0.00
870;Falinks;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
871;Pincurchin;wild;3.47;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;2.94;1.31
872;Snom;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
873;Frosmoth;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
874;Stonjourner;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
875;Eiscue;wild;2.68;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;2.35;0.78
876;Indeedee;wild;2.09;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.18;0.39
877;Morpeko;wild;5.03;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;7.06;2.35
878;Cufant;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
879;Copperajah;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
880;Dracozolt;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
881;Arctozolt;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
882;Dracovish;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
883;Arctovish;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
884;Duraludon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
885;Dreepy;wild;1.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.76;0.39
886;Drakloak;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
887;Dragapult;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
888;Zacian;legendary;0.39;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.39;0.00
889;Zamazenta;legendary;0.39;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.39;0.00
890;Eternatus;legendary;10.00;Never Transfer (Legendary);PokemonDB Catch Rate;;;10.00;0.00
891;Kubfu;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
892;Urshifu;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
893;Zarude;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
894;Regieleki;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
895;Regidrago;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
896;Glastrier;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
897;Spectrier;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
898;Calyrex;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
980;Paldean Clodsire;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
